<2024-01-08 15:54:20> Load machine configuration '../userdata/conf/machine.xml'
<2024-01-08 15:54:28> Load machine configuration '..\userdata\conf\machine_geov5.xml'
<2024-01-08 15:54:28> BT1 = X:-46.55967999999999, Y:13.754999999999994, T:-90.0, Val:CR2032, Mod:WURTH_CR2032_79527141
J16 = X:-13.966040000000026, Y:151.304, T:0.0, Val:Pico-blade 9pts, Mod:Molex_PicoBlade_53261-0971_1x09-1MP_P1.25mm_Horizontal
J17 = X:-1.2960400000000232, Y:137.714, T:-90.0, Val:Pico-blade 5pts, Mod:Molex_PicoBlade_53261-0571_1x05-1MP_P1.25mm_Horizontal
L1 = X:-63.815040000000025, Y:114.59749999999998, T:90.0, Val:2.2uF, Mod:L_Bourns-SRN4018
Q1 = X:-10.590000000000018, Y:111.02199999999999, T:180.0, Val:BSS138, Mod:SOT-23
Q2 = X:-48.590000000000025, Y:146.46, T:90.0, Val:DMP4025LK3Q, Mod:TO-252-2
Q3 = X:-44.77968000000001, Y:131.435, T:90.0, Val:MMBT2907, Mod:SOT-23
Q4 = X:-10.590000000000018, Y:116.46000000000001, T:180.0, Val:BSS308_NM, Mod:SOT-23
Q5 = X:-43.964840000000024, Y:108.48476, T:90.0, Val:DMP4025LK3Q, Mod:TO-252-2
Q7 = X:-18.38320000000002, Y:131.584, T:-90.0, Val:BSS138, Mod:SOT-23
Q9 = X:-11.491040000000025, Y:139.949, T:-90.0, Val:DMP4025LK3Q, Mod:TO-252-2
Q10 = X:-78.47264, Y:94.68739999999998, T:0.0, Val:NX2301P, Mod:SOT-23
Q11 = X:-67.37400000000001, Y:65.77799999999999, T:0.0, Val:DMP4025LK3Q, Mod:TO-252-2
Q12 = X:-71.77264000000001, Y:97.13739999999999, T:90.0, Val:BSS138, Mod:SOT-23
Q13 = X:-57.61700000000001, Y:62.48799999999999, T:0.0, Val:BSS138, Mod:SOT-23
